 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on https://172.28.0.2:5001/ (Press CTRL+C to quit)
172.28.0.1 - - [17/Nov/2021 17:13:58] "GET / HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:14:10] "POST /authenticate HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:14:10] "POST /validate_challenge HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:14:10] "GET /status HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:14:49] "POST /authenticate HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:14:49] "POST /validate_challenge HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:14:49] "GET /status HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:15:45] "POST /authenticate HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:15:45] "POST /validate_challenge HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:15:45] "GET /status HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:18:02] "POST /authenticate HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:18:02] "POST /validate_challenge HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:18:02] "GET /status HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:20:10] "POST /authenticate HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:20:10] "POST /validate_challenge HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:20:10] "GET /status HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:20:39] "POST /authenticate HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:20:39] "POST /validate_challenge HTTP/1.1" 200 -
172.28.0.1 - - [17/Nov/2021 17:20:39] "GET /status HTTP/1.1" 200 -
